delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,29,8,356,8,1806.1815144999418,,1806.1670125999954,1806.1815144999418,1807.1654777999502,1807.1654777999502,1807.1824647998437,1807.651151199825,space,0.47977399989031255,None,1807.651488599833,1808.351437466514,1808.6584009998478,1808.6477783999871,1808.6478089999873,1808.6584009998478,1808.6584009998478,1808.6584009998478,1812.3561251999345,500,1,[3.7063406999222934],[3.706347099971026],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,29,9,357,10,1812.3712832999881,,1812.3567162998952,1812.3712832999881,1813.356838000007,1813.356838000007,1813.373133199988,1814.0418855999596,space,0.6746052999515086,None,1814.0430588999297,1814.456973266617,1814.8238917000126,1814.7615716999862,1814.7618805998936,1814.8238917000126,1814.8238917000126,1814.8238917000126,1818.4124594999012,700,1,[3.6378728998824954],[3.6378833998460323],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,29,10,358,4,1818.428351599956,,1818.4137802999467,1818.428351599956,1819.4128600999247,1819.4128600999247,1819.4298868998885,1819.81545679993,space,0.38851059996522963,None,1819.8164690998383,1820.2300686666897,1820.5498681999743,1820.52786679985,1820.5279266999569,1820.5498681999743,1820.5498681999743,1820.5498681999743,1822.0662854998372,300,1,[1.5354587000329047],[1.5354690998792648],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,29,11,359,6,1822.0818838998675,,1822.0675001000054,1822.0818838998675,1823.0663905998226,1823.0663905998226,1823.083372199908,1823.853646100033,space,0.7750480999238789,None,1823.8550209999084,1823.9676210666696,1824.2904997000005,1824.268187499838,1824.2682326999493,1824.2904997000005,1824.2904997000005,1824.2904997000005,1826.554974099854,200,1,[2.284502200083807],[2.284512400161475],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,30,0,360,9,1826.5704025998712,,1826.5558477998711,1826.5704025998712,1827.555372199975,1827.555372199975,1827.5720924998168,1829.8262028000318,space,2.257731200195849,None,1829.8273751998786,1829.9412763666517,1830.2621603999287,1830.2379226000048,1830.2379804998636,1830.2621603999287,1830.2621603999287,1830.2621603999287,1834.1133896999527,200,1,[3.8722820000257343],[3.8722914999816567],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,30,1,361,8,1834.129239199916,,1834.1143826998305,1834.129239199916,1835.1135209000204,1835.1135209000204,1835.130829300033,1836.4837419998366,space,1.3549653999507427,None,1836.4846738998313,1837.199261466569,1837.520685199881,1837.4992235000245,1837.4992795998696,1837.520685199881,1837.520685199881,1837.520685199881,1840.0211593999993,700,1,[2.519449400017038],[2.5194629998877645],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,30,2,362,4,1840.0354378998745,,1840.0222930000164,1840.0354378998745,1841.0362247000448,1841.0362247000448,1841.0362247000448,1841.6393575998954,space,0.5876470999792218,None,1841.6403572999407,1842.0543085665597,1842.3787966000382,1842.3583225999027,1842.3583682000171,1842.3787966000382,1842.3787966000382,1842.3787966000382,1844.291138799861,300,1,[1.9304245000239462],[1.930439200019464],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,30,3,363,6,1844.3063831999898,,1844.2922745998949,1844.3063831999898,1845.291600999888,1845.291600999888,1845.3079796000384,1846.093747699866,space,0.7922352000605315,None,1846.0947352999356,1846.2088034665833,1846.5322139000054,1846.5094403999392,1846.5095016998239,1846.5322139000054,1846.5322139000054,1846.5322139000054,1850.6143628999125,400,1,[4.102727900026366],[4.102735599968582],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,30,4,364,5,1850.6302944999188,,1850.6152709999587,1850.6302944999188,1851.6150449998677,1851.6150449998677,1851.6316686999053,1852.4516204998363,space,0.8298812999855727,None,1852.4524729999248,1853.1674068666218,1853.4897085998673,1853.4679423000198,1853.467990099918,1853.4897085998673,1853.4897085998673,1853.4897085998673,1855.9204332998488,100,1,[2.4502418998163193],[2.4502505999989808],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,30,5,365,11,1855.9363587000407,,1855.9213669998571,1855.9363587000407,1856.921036799904,1856.921036799904,1856.9377439999953,1857.3076196999755,space,0.38403590000234544,None,1857.3086252999492,1858.0220547665997,1858.3392582999077,1858.3174343998544,1858.3174844000023,1858.3392582999077,1858.3392582999077,1858.3392582999077,1860.3924499999266,500,1,[2.072152700042352],[2.0721718000713736],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
